V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,Signal
78.863,3.833,37.38,109.405,3.733,600.192,-1.645,1.507,91.976,322.035,1.026,1.086,0.823,26.03,0.094,0.097,26.699,-0.534,-1.273,73.06,-1.186,389.971,98.923,0.51,2.156,83.363,-3.223,-1.548,269.306,0
93.172,28.78,65.528,14.218,6.63,1618.52,-9.717,2.684,34.409,191.622,1.147,-1.397,0.692,31.324,0.733,-2.719,35.939,0.882,-0.039,17.614,1.178,299.064,82.644,2.187,2.295,41.715,-4.443,-1.09,124.359,0
133.415,72.921,89.207,84.268,2.798,438.551,-1.151,2.87,72.201,365.433,1.742,1.414,0.823,33.36,1.077,2.058,58.125,1.515,-1.389,64.102,-2.669,471.501,168.935,-0.501,0.298,62.051,2.297,-2.409,273.948,0
169.605,67.78,109.152,129.504,0.792,80.228,7.446,1.931,21.361,257.955,1.539,1.398,0,52.038,-0.313,-2.598,80.093,-0.856,-0.745,50.505,-1.869,306.364,94.737,-2.361,1.864,31.087,-3.153,0.6,125.824,1
131.099,50.983,106.952,105.164,1.469,209.127,-0.538,1.681,1.864,312.926,0.444,-1.326,0.994,87.796,-1.54,-0.716,38.975,0.017,-1.35,16.834,1.987,373.199,128.396,-0.775,1.813,57.759,0.693,-2.235,186.155,1
583.828,76.174,306.124,220.127,1.27,254.043,1.19,3.81,118.646,625.448,1.048,0.666,0.154,46.822,1.614,2.114,49.065,-2.131,1.411,140.247,2.365,711.398,195.558,-0.627,-1.48,141.657,-1.897,-0.892,529.561,0
130.589,59.244,97.486,14.067,1.945,175.549,-0.807,3.305,35.456,192.019,2.368,-1.349,0.002,20.529,-0.015,-1.686,48.606,2.023,1.994,19.006,-0.695,284.503,78.339,0.6,-0.647,44.545,-1.345,3.107,122.884,0
116.84,10.713,37.779,595.828,0.111,107.387,3.464,0.563,71.624,711.108,1.127,1.115,0,63.981,0.163,1.015,72.126,0.047,0.464,466.865,0.523,786.822,484.982,-1.918,-2.652,46.899,-1.807,-2.189,575.001,1
72.8,38.13,55.272,65.497,2.16,239.894,-1.048,1.347,45.59,252.164,0.407,-1.371,0.326,67.997,1.008,1.037,27.7,1.488,-0.222,15.546,-2.552,364.798,99.318,1.424,-2.397,57.149,-0.736,-0.155,156.467,0
76.689,17.879,41.929,131.597,0.393,112.995,-0.004,1.15,36.09,268.812,0.837,1.348,0,42.009,-2.013,2.962,35.171,-1.837,-2.185,67.516,-2.554,429.873,151.696,-0.011,0.867,39.936,0.382,-0.622,191.631,0
144.23,31.373,92.581,62.581,0.611,43.768,-0.037,2.532,31.421,161.468,0.852,1.398,0.626,51.669,0.046,-0.054,44.046,0.446,-2.555,35.181,-1.735,418.206,34.666,0.543,1.742,31.086,-0.069,0.57,65.752,1
128.882,73.341,95.298,93.194,3.111,483.87,-2.373,2.185,9.565,293.886,1.719,0.335,0.243,29.846,0.157,-0.596,51.319,2.066,0.467,46.079,-1.242,283.851,147.062,-1.339,2.443,65.658,1.772,-1.271,212.721,0
60.981,102.835,54.478,50.885,0.243,81.348,0.37,1.234,29.825,201.095,2.358,-0.196,0,26.996,1.841,-0.68,63.661,0.608,-0.751,42.374,2.674,281.273,63.55,-0.499,2.615,46.888,-0.741,0.991,110.439,0
148.355,7.484,58.725,135.528,4.414,772.698,-4.87,2.31,0.458,240.674,0.926,1.137,0.991,33.321,0.315,2.511,30.86,0.232,-1.463,122.104,-1.585,226.21,111.497,2.225,1.875,64.996,-2.189,0.428,176.493,1
34.266,100.478,31.546,56.443,0.86,119.975,-0.038,0.796,5.511,210.059,2.565,-0.86,0.015,25.377,-1.192,-0.015,65.082,-1.264,-0.807,47.74,-3.053,258.106,72.791,-0.813,1.197,46.81,0.047,-2.787,119.601,0
120.607,9.432,93.533,121.362,1.678,96.963,0.855,1.456,58.018,305.849,0.438,0.343,0.812,104.386,-1.192,2.508,45.724,-1.632,-2.388,5.844,-1.803,343.798,43.983,-0.41,-1.056,40.637,-2.087,0.269,155.739,1
124.237,7.178,72.863,67.471,1.751,328.557,-0.486,2.894,18.227,310.857,1.331,1.264,0.964,30.232,-0.026,0.426,40.23,-0.699,-3.043,54.06,3.087,367.027,143.825,-1.406,0.729,96.57,0.345,-1.935,240.395,1
86.265,49.696,42.427,84.168,1.746,106.671,-0.551,1.779,9.584,154.705,1.173,1.303,0.026,25.124,1.945,-2.329,29.478,2.124,2.184,52.856,-2.737,249.318,52.403,1.333,-0.141,47.7,-0.413,0.604,100.103,0
112.113,9.368,72.902,48.937,3.775,292.551,-3.489,2.925,26.925,185.885,1.509,1.287,0.999,24.268,1.715,-2.614,36.631,0.317,1.101,28.968,1.389,216.931,59.988,-1.617,-1.865,32.909,2.157,-0.484,124.986,1
89.8,24.921,66.201,111.519,0.636,29.548,5.118,1.204,40.303,225.389,0.682,0.324,0,69.77,-0.364,0.82,47.597,0.038,-0.314,31.99,-0.964,243.848,38.918,1.966,2.909,35.824,2.603,-3.01,108.022,0
138.384,19.503,90.439,88.663,6.404,1272.825,-8.715,1.792,4.644,231.469,0.523,0.4,0.817,79.716,-0.415,2.013,41.682,-0.198,0.233,46.533,-0.213,238.2,73.63,-1.962,-2.576,36.441,4.442,-1.377,110.071,1
70.618,44.71,49.791,72.213,1.171,264.07,-0.304,1.45,57.337,330.255,1.028,0.68,0.163,36.559,0.61,-0.468,37.591,0.986,0.932,23.675,-0.763,384.983,119.759,0.783,-1.846,104.463,-0.388,1.418,256.106,0
69.478,54.553,51.713,31.977,0.334,101.405,0.25,2.656,24.088,166.783,1.365,-1.414,0.916,22.666,-0.349,0.808,30.937,-0.577,-1.838,42.63,2.746,215.753,70.376,-0.695,-0.759,42.804,-0.36,1.461,113.18,0
120.962,24.088,90.549,66.033,4.109,518.177,-3.538,2.513,0.17,209.992,2.252,1.373,0.719,22.262,-0.024,-2.399,50.134,-2.006,-0.855,12.41,-1.863,162.496,89.664,1.228,1.219,47.931,-2.881,-2.729,137.595,1
114.858,19.818,59.538,90.36,1.891,162.103,-0.892,2.03,23.933,197.903,0.846,0.402,0.949,36.599,0.473,-2.036,30.962,-0.177,-0.113,78.304,0.292,201.401,89.019,0.985,-2.573,41.322,-0.906,1.989,130.342,0
138.619,13.429,86.716,97.509,4.031,348.932,-4.038,1.922,3.805,210.185,0.577,1.261,0.999,68.868,0.228,-1.522,39.764,-0.109,2.869,41.537,-3.082,212.668,69.295,1.857,0.718,32.259,-2.174,0.538,101.554,1
124.272,9.73,87.781,228.951,2.203,350.66,0.755,1.499,38.006,441.887,5.096,1.107,0.981,25.825,0.487,0.799,131.616,1.557,1.848,82.835,1.755,341.704,152.824,0.301,-1.058,91.861,2.504,-2.371,284.445,1
128.945,0.92,86.993,162.021,6.086,1621.112,-8.899,1.494,2.421,270.22,0.83,1.382,0.993,58.322,-0.632,0.52,48.419,0.861,0.566,55.308,0.548,292.091,107.808,-2.441,-2.628,55.67,3.645,-2.576,163.478,1
119.391,7.611,93.662,185.656,0.819,94.389,1.988,1.53,5.93,363.718,5.299,0.876,0.01,27.178,-1.531,-0.536,144.022,-0.588,0.668,30.802,0.782,277.38,135.974,-1.878,-2.733,56.544,-1.059,-2.133,192.518,1
97.147,72.941,71.901,101.898,0.842,65.751,2.915,1.7,3.631,199.616,1.86,0.456,0,30.098,-0.068,-1.346,55.975,-1.397,-2.407,47.329,-0.832,165.588,75.316,1.338,1.254,38.227,2.18,2.079,113.543,0
122.102,20.658,77.148,230.618,3.705,649.223,-3.368,1.091,2.343,417.809,0.366,1.117,0.495,112.83,0.795,3.123,41.245,1.807,-2.752,79.151,-3.115,449.216,215.289,2.106,-0.134,48.445,-1.599,1.256,263.734,1
86.957,20.935,62.566,30.331,2.864,222.052,3.735,2.977,35.243,207.614,1.935,-1.41,0.139,22.5,0.244,2.806,43.535,0.395,-0.167,13.277,-1.068,189.568,72.681,0.973,1.561,34.671,3.837,-2.268,141.58,1
180.783,21.16,119.207,139.176,3.119,257.563,2.984,2.257,53.31,239.784,1.619,0.616,0.447,36.422,-1.096,1.268,58.956,0.928,2.268,64.053,2.614,247.168,58.406,0.768,-1.073,52.193,3.887,-1.535,144.407,0
78.581,7.609,35.611,109.755,2.879,276.098,-1.542,1.597,3.181,185.586,1.172,1.152,0.61,22.749,-0.029,-1.744,26.661,0.284,2.973,78.086,3.14,201.993,86.204,0.712,-0.33,49.972,-2.167,1.058,136.176,0
197.729,64.77,73.707,101.975,0.494,206.315,-0.058,2.763,24.4,296.898,2.012,1.414,0.001,21.572,-0.79,-0.603,43.394,0.626,1.77,75.803,0.57,369.911,164.81,0.194,-1.87,67.122,-0.299,1.968,231.932,0
80.882,12.532,55.575,74.2,1.047,51.563,8.158,1.706,19.116,159.379,1.149,1.337,0,32.124,0.004,-0.347,36.913,-0.869,1.118,23.243,0.687,341.166,49.38,3.427,-2.735,40.962,2.381,-2.757,90.342,0
121.667,135.575,59.202,88.514,0.86,72.24,0.488,1.91,35.056,246.017,2.129,0.009,0.997,24.481,1.19,1.919,52.112,0.795,-2.495,97.882,1.287,480.068,67.747,1.25,-0.749,53.186,0.39,-1.471,169.424,0
130.565,55.886,95.33,145.961,4.048,684.197,-3.241,1.911,3.069,326.791,0.234,0.595,0.991,117.486,1.255,-0.996,27.526,0.729,-2.833,36.686,-0.684,378.139,93.545,2.949,2.631,88.234,-1.099,1.411,181.779,0
146.025,40.357,108.038,54.592,3.648,367.731,-3.065,2.119,1.917,249.01,0.851,-0.797,0.999,66.551,-0.864,-1.615,56.625,-0.565,0.483,38.384,1.378,325.984,87.719,1.313,2.884,38.116,-2.335,-0.574,125.835,1
92.733,4.908,55.322,133.077,0.159,56.074,1.974,1.627,14.46,283.707,2.516,1.078,0,22.349,0.055,-2.758,56.238,0.948,-1.397,69.553,-1.476,305.072,72.101,-1.487,1.957,59.172,-1.328,1.169,205.119,1
133.209,27.377,62.583,176.256,1.078,101.359,-0.191,1.451,1.627,265.043,0.891,1.387,0.993,46.16,-0.683,-0.611,41.116,0.271,0.482,102.17,0.057,303.883,109.538,0.854,3.093,68.228,-0.224,-3.1,177.766,1
179.325,9.143,100.486,45.696,1.832,127.83,-0.453,2.759,45.605,222.339,0.535,1.275,0.701,67.233,-0.68,-0.836,35.946,-0.075,1.856,48.239,1.636,360.55,45.826,0.295,-2.661,42.081,-1.537,0.73,119.16,1
135.915,78.929,77.188,43.299,5.427,629.926,-7.29,2.675,6.104,161.461,1.204,1.072,0.982,35.421,1.064,2.668,42.665,0.634,-0.975,39.3,2.707,188.676,43.647,2.986,-0.982,39.728,-2.442,1.237,83.375,1
117.32,20.686,70.72,140.043,2.561,246.183,-0.867,1.555,0.995,241.184,1.12,1.413,0.818,41.117,1.009,-2.037,46.037,-0.305,-2.869,60.31,-2.474,218.217,106.306,-2.16,0.932,47.725,0.401,0.017,154.03,1
110.828,2.993,62.017,164.44,0.441,64.235,0.811,1.48,39.482,229.594,1.298,0.595,0.974,33.632,0.587,1.409,43.638,-0.891,1.325,87.386,1.277,272.397,121.442,-1.148,-1.442,30.882,-0.707,-2.31,152.324,1
59.126,19.036,37.82,88.396,3.787,360.429,1.312,1.242,1.27,168.117,0.866,0.691,0.016,31.248,-0.477,1.549,27.059,-1.625,1.074,33.308,1.719,187.648,63.912,4.106,-1.145,45.899,0.32,-2.466,109.81,0
118.549,3.043,71.755,157.304,1.385,107.998,-0.438,1.349,32.499,289.714,0.379,0.914,0.689,85.83,1.617,-2.58,32.499,0.627,2.787,59.079,2.717,310.462,94.272,0.896,0.173,43.321,-0.489,-0.568,171.384,0
144.154,29.423,116.994,108.564,0.314,29.312,0.85,1.798,2.85,229.034,0.851,-0.332,0,65.333,-2.441,0.611,55.609,-0.854,1.455,4.341,-1.032,244.596,77.688,0.779,-2.054,30.403,1.092,-2.444,108.092,1
145.053,62.487,97.265,52.185,2.785,438.338,-0.111,2.539,0.696,309.697,1.161,1.36,0.877,46.379,-0.425,2.292,53.84,-0.847,-0.212,26.181,1.754,278.63,127.351,-2.745,-1.482,82.126,0.04,1.928,209.478,1
94.079,35.036,55.079,109.895,6.271,1477.324,-8.855,1.62,8.102,216.114,1.364,1.343,0.595,29.028,-0.125,-0.838,39.597,-1.27,0.308,53.273,-0.475,246.127,110.022,-2.148,2.558,37.467,4.123,-1.962,147.489,1
275.463,53.266,209.587,2.95,1.054,73.292,-0.109,4.273,1.061,137.139,1.193,-1.412,0,33.46,2.213,-0.306,39.902,-1.229,-2.839,24.432,1.4,120.839,33.65,0.938,-0.878,30.127,-0.116,2.227,63.777,0
110.09,14.827,63.211,109.624,7.285,2111.4,-12.56,1.854,0.96,188.806,1.285,1.246,0.831,32.411,0.163,-1.738,41.653,-0.728,-0.112,60.322,-0.409,184.292,72.533,-2.802,2.331,42.209,4.483,2.973,114.742,1
79.899,9.811,51.985,47.762,0.607,71.376,2.356,2.33,22.176,140.753,1.504,0.393,0.101,21.849,1.839,1.241,32.872,1.104,-2.832,28.642,-2.511,147.634,48.869,1.868,0.444,37.162,1.261,-1.273,86.032,0
137.168,64.775,101.179,37.9,3.095,239.473,0.018,2.776,3.321,184.512,1.066,-0.37,0.983,39.073,0.197,0.139,41.648,1.755,2.436,25.765,-0.404,257.106,69.926,0.006,-2.838,33.865,3.1,-0.108,103.791,1
80.744,4.497,52.189,116.552,1.588,203.697,1.109,1.293,5.721,266.97,1.121,0.846,0,36.973,-0.189,-2.123,41.433,0.904,-2.812,45.302,-2.916,340.368,146.46,-2.112,0.671,42.103,-0.525,-1.791,188.563,0
104.858,27.588,57.078,104.579,0.529,88.77,-0.003,1.856,25.045,173.235,0.959,1.348,0,29.774,0.485,-0.147,28.567,-1.039,0.913,54.612,0.199,189.599,80.013,0.524,3.046,34.88,-0.006,-1.452,114.894,1
128.431,3.477,81.626,78.078,5.387,620.381,-7.153,2.131,25.613,169.846,0.611,1.1,0.995,52.155,-1.72,2.122,31.853,-0.514,0.366,33.583,0.472,217.874,51.149,-3.013,-1.484,34.688,2.375,-1.984,85.837,1
75.525,32.495,49.148,75.038,2.68,155.944,-0.739,1.814,32.988,132.849,1.261,0.747,0.972,22.433,0.325,-3.119,28.281,-1.255,-2.226,34.094,2.955,254.534,43.195,-2.368,0.044,38.94,0.312,1.39,82.136,0
64.908,64.992,59.638,19.753,3.917,259.756,-1.533,2.512,3.71,123.954,1.22,-1.411,0.953,23.467,-0.543,-3.081,28.618,-1.945,1.118,46.274,-1.09,149.596,36.411,0.441,1.054,35.458,-3.476,-2.71,71.869,0
65.715,33.951,37.694,72.958,3.889,397.125,-3.146,1.729,69.229,208.881,1.274,1.39,0.129,21.712,-2.327,1.179,27.655,-1.987,2.874,41.061,1.818,292.531,88.403,2.741,-0.534,37.76,-1.147,-0.984,159.514,0
136.24,6.659,87.021,126.033,3.187,211.86,-2.462,2.623,42.995,183.985,3.431,0.846,0.929,21.069,-1.033,2.026,72.287,0.153,-0.313,68.395,-0.408,303.764,54.716,1.316,-2.98,35.913,-1.871,2.685,90.629,1
218.183,57.859,152.734,106.23,2.37,347.438,0.922,3.205,2.727,373.975,0.307,1.369,0,118.295,0.837,2.316,36.263,1.982,-0.974,23.811,2.52,412.812,160.628,-0.34,-0.541,58.789,-2.71,2.985,219.417,0
109.513,9.66,56.85,96.237,0.909,44.877,1.12,1.923,28.757,148.54,0.783,1.209,0.001,35.385,-1.105,2.372,27.7,-0.048,0.766,57.933,1.008,232.468,50.322,1.606,-1.953,35.134,0.697,-2.379,85.455,1
94.788,35.101,67.683,37.569,7.338,1731.469,-13.339,3.187,0.623,151.872,1.815,1.414,0.932,22.061,-1.669,1.249,40.05,-0.623,-1.762,24.614,-0.576,168.497,52.972,4.017,2.917,36.789,-3.321,0.563,89.761,1
101.02,5.597,27.801,411.17,3.276,879.378,-1.878,0.664,28.022,487.101,0.701,1.109,0.437,50.126,0.171,-1.582,35.157,0.592,-1.068,330.682,-1.12,537.461,296.3,0.74,2.027,105.519,-2.536,1.599,401.819,1
102.272,0.203,71.423,228.856,1.082,121.679,0.308,0.967,22.461,374.448,2.418,1.003,0.005,48.587,1.594,-1.017,117.505,2.03,-0.154,76.737,-0.156,445.212,108.476,0.234,2.753,99.88,1.316,2.818,208.356,0
107.223,6.582,67.172,64.742,2.085,95.534,1.263,2.433,39.74,131.549,1.296,1.173,0.881,27.936,0.066,2.934,36.216,1.162,0.761,37.722,0.939,183.014,36.991,0.49,-1.86,30.407,2.575,-0.462,67.397,0
109.768,6.136,77.192,38.234,2.195,391.672,1.307,2.424,27.908,306.795,0.677,0.337,0.642,42.864,1.045,-1.548,29.005,2.315,0.517,8.515,0.91,364.179,129.901,0.487,1.382,105.024,2.682,-1.843,234.925,0
108.53,17.147,39.803,157.36,2.642,266.698,-0.203,1.739,13.919,234.826,1.266,1.239,0.712,22.527,-1.471,1.737,28.515,-2.013,-2.894,124.778,3.101,289.879,152.895,0.079,-0.313,30.889,-2.563,1.66,183.784,1
121.338,5.623,86.469,125.736,2.248,228.945,-1.259,2.985,23.204,260.617,4.63,-0.034,0.915,20.142,0.211,-1.184,93.264,0.265,2.114,52.531,2.034,328.972,75.267,1.055,-1.852,71.945,-1.194,-0.261,147.212,1
119.364,7.395,58.253,198.252,3.466,713.42,-2.461,1.201,3.258,391.915,0.645,1.291,0.992,57.757,2.009,-3.12,37.249,0.888,-2.689,105.859,-2.807,479.859,230.814,-0.996,0.519,66.096,2.47,-1.708,296.909,1
117.92,5.225,78.326,85.922,2.247,215.375,0.109,2.221,26.458,264.115,1.766,0.866,0.509,29.667,-0.791,1.711,52.403,0.248,-0.251,42.036,-0.362,269.459,71.663,0.048,2.116,59.633,2.295,-1.975,182.045,1
137.071,0.722,61.961,460.616,0.477,175.388,2.085,0.619,2.812,783.486,0.143,1.018,0.002,266.57,1.192,2.488,38.159,0.878,1.954,172.054,1.963,852.263,366.482,1.225,-1.022,112.276,1.702,-0.404,478.758,1
122.761,4.83,80.473,85.96,2.638,340.665,-1.444,2.425,19.431,254.704,1.989,0.878,0.518,24.893,-0.934,-2.131,49.506,0.526,2.216,43.529,2.112,312.029,116.777,0.775,-1.025,63.529,-1.862,1.415,180.306,1
109.068,77.784,91.661,2.068,0.689,67.614,-0.102,2.822,7.209,123.625,1.867,-1.355,0,20.941,-1.043,0.868,39.106,1.264,-0.758,41.274,2.891,188.766,33.044,-0.217,-2.509,30.533,0.473,0.913,63.577,0
105.341,28.042,75.431,114.553,5.248,970.863,-6.868,1.506,43.487,268.509,0.599,1.387,0.971,69.015,-0.273,1.025,41.323,0.327,2.406,27.704,1.551,205.032,114.56,2.498,-1.619,43.61,-2.749,-2.345,158.17,1
158.637,6.502,79.916,101.224,3.831,325.761,-3.489,2.122,18.915,183.359,0.61,0.847,0.964,52.013,-1.19,0.326,31.742,-0.059,-1.469,73.123,-1.605,265.838,61.273,1.491,2.607,38.331,-2.34,1.606,99.604,1
135.084,31.178,95.35,93.898,2.453,461.341,-1.43,2.734,48.437,392.039,3.227,1.377,0.714,25.085,1.831,0.076,80.948,0.983,-2.524,34.664,-1.926,377.827,148.919,1.498,0.863,103.954,-0.954,-2.333,286.006,1
148.438,33.41,112,73.198,0.568,120.405,2.674,2.541,23.952,277.458,2.134,-0.314,0.393,29.168,-0.073,-2.72,62.258,-1.934,-0.99,23.802,-0.093,399.07,76.052,-1.376,0.9,61.423,-1.944,2.82,186.033,1
97.838,8.909,68.664,131.935,1.623,168.603,5.987,1.276,51.259,312.055,0.951,1.216,0.248,56.628,0.919,1.029,53.858,1.62,-0.037,38.454,0.159,374.508,76.989,1.766,2.475,73.627,3.389,-2.407,201.569,0
84.927,24.118,38.866,244.051,1.947,265.493,-0.941,0.718,47.313,433.29,0.65,1.395,0.951,67.318,-0.613,-2.997,43.738,-0.135,-2.461,136.772,-2.774,504.899,210.476,1.056,0.099,41.877,-0.891,2.045,322.234,0
201.952,22.237,115.305,111.698,1.418,89.143,0.395,2.885,5.886,197.864,1.659,1.287,0.803,33.443,-2.346,1.595,55.474,-0.615,-2.38,71.529,-2.735,232.072,60.81,-0.238,0.438,48.136,-1.657,0.055,108.946,1
116.157,32.721,79.391,93.222,3.755,399.542,-3.46,1.941,0.466,227.192,1.586,1.395,0.752,38.196,0.71,-1.143,60.562,0.746,-3.084,34.515,-2.352,188.93,84.51,-2.134,1.229,43.924,1.621,-0.383,128.434,1
84.07,4.265,37.617,197.368,3.032,412.866,-2.213,0.981,30.005,337.085,1.087,1.079,0.575,37.481,0.353,2.504,40.731,0.836,1.65,128.953,1.709,304.605,186.172,1.225,-1.459,41.886,-1.808,0.613,258.873,0
91.662,50.655,65.261,55.781,3.875,343.254,-2.603,2.061,17.414,177.181,1.963,1.13,0.861,26.382,-2.372,0.365,51.78,-1.823,2.352,19.421,0.501,217.499,58.205,0.865,-2.132,40.814,-3.01,0.064,99.019,0
97.581,47.944,72.607,36.58,1.496,112.323,4.221,3.449,1.042,148.829,1.827,-1.414,0.043,20.466,0.685,0.97,37.391,-0.858,-2.228,32.587,-0.714,152.935,48.166,-1.438,0.947,42.806,-2.934,-3.023,90.972,0
126.048,34.287,105.933,306.948,4.305,2330.285,-4.596,0.842,6.023,854.708,3.154,1.342,0.997,71.674,-0.141,-0.099,226.03,0.319,-0.803,23.549,-0.329,718.533,351.24,2.345,1.919,205.764,-1.96,-2.298,557.004,1
146.457,7.386,108.44,35.557,2.107,172.64,1.704,2.833,2.59,224.202,1.528,1.36,0.325,44.27,-0.711,0.145,67.654,-0.561,2.974,6.673,2.624,215.515,74.031,-0.624,-0.371,38.247,-2.731,2.978,112.278,1
116.132,1.672,78.008,50.195,1.862,155.534,-0.235,2.248,24.821,209.338,0.446,0.893,0.987,63.847,-0.307,0.26,28.45,-0.688,2.476,16.603,2.553,259.581,62.599,-1.726,-2.875,54.441,0.136,-1.118,117.041,1
96.431,8.753,60.216,75.814,2.424,229.507,-1.424,2.172,2.261,197.297,1.626,1.21,0.558,22.108,-0.298,3.135,35.959,1.138,-1.519,35.723,-1.763,219.055,97.809,1.424,0.792,41.421,-1,-3.117,139.23,0
93.454,9.741,62.448,64.782,2.263,214.725,4.012,1.809,27.574,262.552,0.846,0.631,0.487,43.134,1.435,-2.683,36.511,1.341,1.793,30.521,1.501,286.915,116.267,1.169,-0.98,34.788,3.432,1.484,182.907,0
164.951,123.443,115.696,40.53,5.129,887.616,-6.223,2.874,32.923,254.309,1.418,-1.403,0.953,46.524,1.838,1.852,65.951,1.156,-1.639,67.346,0.729,372.239,91.386,3.158,-1.722,50.448,-1.971,1.388,141.834,0
114.867,60.686,63.976,68.291,2.7,227.667,5.832,2.25,21.315,180.052,1.165,1.273,0.272,31.188,1.952,0.434,36.339,1.226,-1.695,41.879,0.087,178.973,61.463,1.417,1.68,51.062,4.116,-2.471,112.525,1
83.926,19.896,57.11,47.78,0.275,32.378,3.706,2.67,48.052,166.468,2.047,-1.131,0,20.083,0.692,-2.502,41.103,1.137,1.149,28.637,0.56,186.505,38.195,-2.068,3.015,36.308,-1.792,-2.493,105.282,0
107.296,39.343,54.442,109.221,4.116,536.924,-4.055,1.813,21.617,213.617,1.48,1.408,0.3,28.209,-1.553,-0.262,41.744,-1.833,-2.053,64.42,-1.275,232.316,94.293,-1.633,2.502,49.371,2.483,0.672,143.664,0
111.228,1.226,77.639,67.763,0.51,69.068,6.836,3.264,28.44,205.634,2.644,1.41,0,21.631,0.767,2.519,57.202,-0.133,-0.618,32.198,-0.59,201.874,47.171,2.372,2.247,39.905,2.882,-2.413,126.801,1
122.411,84.122,76.266,67.096,2.523,192.787,1.56,2.251,7.066,180.32,1.92,0.167,0,23.533,-0.067,-1.96,45.185,-1.767,-0.485,49.85,-2.664,244.916,77.095,3.036,0.817,34.506,0.514,2.995,111.602,0
75.857,11.469,43.756,122.075,2.483,253.185,-1.541,1.28,9.005,246.893,1.563,1.247,0.468,27.96,-1.797,2.649,43.712,-1.062,1.601,59.967,1.826,309.334,143.753,-1.222,-1.149,31.467,1.262,2.217,175.22,0
53.199,104.505,44.128,58.117,1.153,129.602,0.256,1.085,49.845,205.999,3.648,-1.402,0,20.868,-0.817,-0.438,76.126,-1.718,0.165,36.484,3.046,385.418,55.78,1.343,-1.166,53.224,0.19,2.164,109.004,0
101.609,12.847,52.211,114.011,1.259,91.4,2.828,1.667,27.438,167.08,0.819,1.322,0,33.748,-0.298,-1.391,27.656,0.988,-2.452,62.043,-2.14,181.387,69.934,-2.425,0.655,35.741,-1.166,1.92,105.676,1
97.964,6.547,55.021,159.056,0.518,207.199,0.659,1.122,7.66,350.424,0.723,0.873,0.002,59.963,-1.114,-2.738,43.341,-1.511,-1.688,80.414,-1.577,349.235,130.246,-1.111,2.046,116.874,-0.593,0.236,247.12,0
114.685,10.435,74.809,104.157,1.974,288.167,-0.108,1.781,24.359,284.965,0.475,0.627,0.092,57.095,0.922,-1.312,27.107,2.456,-2.217,38.543,-2.541,369.806,133.263,-0.056,1.742,67.5,1.918,-0.895,200.763,0
23.198,38.119,17.074,55.193,3.818,263.376,-3.287,0.644,19.128,136.928,1.647,0.029,0.6,20.948,0.657,-3.111,34.505,0.767,2.538,16.822,-1.92,136.503,50.857,1.311,0.386,30.617,-2.507,-0.552,81.474,0
123.629,65.8,100.159,98.354,1.789,246.067,2.329,1.747,4.481,292.804,1.048,-0.048,0.769,49.769,0.504,0.049,52.143,2.227,-0.234,30.419,1.711,352.501,133.323,2.664,2.993,57.569,0.874,-0.803,190.892,1
120.091,51.271,92.81,84.626,3.42,921.542,-2.812,2.672,3.02,452.365,4.636,1.411,0.896,21.46,-0.774,-1.74,99.483,-0.232,0.876,13.397,-0.681,477.768,203.372,-1.376,-2.903,128.05,2.044,0.032,331.422,1
141.803,0.584,110.114,206.522,2.765,308.675,-1.286,1.206,25.552,419.342,1.542,0.991,0.939,77.031,-0.859,-1.712,118.778,-0.444,-2.844,43.004,-2.852,495.748,187.182,0.592,0.725,36.35,-2.173,0.748,223.532,1
139.399,0.018,77.77,97.192,0.697,38.645,7.517,1.92,5.225,191.151,0.406,1,0,70.283,0.494,2.711,28.523,-0.3,0.963,52.083,0.964,271.014,51.778,-2.415,-1.309,40.567,-3.112,-1.49,92.344,1
92.149,27.326,43.727,129.111,3.666,741.416,-1.901,1.482,2.377,300.062,1.372,1.402,0.889,24.717,-1.72,1.836,33.908,-0.579,0.889,77.098,1.43,334.521,152.484,0.625,-2.374,88.953,-3.041,-0.24,241.437,1
85.811,27.618,39.561,172.274,2,220.528,-0.904,1.021,0.527,274.761,1.258,1.4,0.223,34.591,-0.207,-0.788,43.499,-0.914,-1.523,99.537,-1.1,288.109,150.222,-0.69,2.252,46.448,1.31,1.038,196.67,0
80.378,31.662,56.98,147.391,3.477,502.865,0.354,0.98,20.192,360.214,0.876,1.334,0.873,64.656,-1.274,-2.869,56.607,-1.198,-1.892,40.574,-2.565,399.29,202.972,-0.099,0.73,35.979,-3.576,-2.325,238.951,0
109.108,20.244,77.6,143.891,0.337,46.093,0.064,1.689,54.63,268.801,3.477,1.286,0,25.184,-0.523,-0.649,87.566,0.54,0.663,46.849,0.346,374.931,92.497,-0.135,-2.942,63.553,-0.472,2.905,156.05,1
86.875,81.945,64.216,36.903,1.162,211.696,0.228,2.099,1.583,258.94,1.654,-0.448,0.955,28.647,0.846,0.725,47.378,0.627,2.813,36.446,0.007,288.734,100.623,1.333,-1.084,82.291,0.171,2.418,182.914,0
116.825,22.775,75.106,51.704,0.566,108.884,1.494,3.184,21.208,208.348,1.586,-1.386,0.943,24.985,2.424,2.456,39.619,1.186,-0.478,40.257,-1.056,286.492,73.249,0.972,1.489,38.569,1.537,-2.135,143.743,1
